job_title,summary
software engineer - new development,this is an exciting opportunity to join a newly created team that will be responsible for the development of new software to help our client to grow and improve. this is a green field opportunity where you can make a big impact.technology professionals at this asset manager are playing a key role in building the future of financial services working hand-in-hand with business partners to create client experiences that are changing the way people invest. we're looking for technical architects to join our new technology development center in manhattan. we want technologists with a fresh perspective who are passionate about solving complex business data and technical challenges.the front office technology group is working to develop the firm's next generation data distribution platform with the aim to seamlessly deliver real-time and on-demand investments data to a global network of distributed trading and research platforms. we are employing new paradigms such as cloud computing lightweight microservices and distributed and non-relational databases to deliver elastically scalable globally distributed and highly resilient software services.key responsibilities:• provide strategic technology direction for each component team in order to meet or exceed required levels of functionality and to ensure compliance with risk management security and audit requirements.• produce architecture artifacts (logical and physical models standards and archetypes) that support the implementation of the strategy working with programs and projects to ensure alignment with enterprise and domain technology architectural tenets.• accountable for defining socializing and driving target state technology strategies for low-latency high-performance microservices which drive the global publication distribution and integration of core investment data streams.• work with traders and global desk-heads to develop champion and execute a consolidated multi-year strategic target state architecture for global data distribution bringing fresh ideas and innovation to a constantly evolving landscape of opportunity.• ensure quality of deliverables setting standards to ensure resiliency fault-tolerance performance and elastic scalability.• collaborate and build relationships with other domain architects development teams operations partners and internal business stakeholders.• work with senior leaders in the business to understand product roadmaps and define and refine a well-aligned architectural vision and strategy.• directly and indirectly lead a team of software engineers towards the development and implementation of program goals.core attributes:• proven ability to act and lead in a consultative manner with technology and business partners.• ability to lead delegate motivate and support resources to achieve high delivery demands.• strong interpersonal skills with a proven ability to develop and maintain a close working relationship with quantitative researchers traders and senior business leaders.• demonstrable passion for technology innovation and quality with a craftsman-like approach to building software.• enthusiastic embrace of devops culture and collaborative software engineering.• ability and desire to work in a dynamic fast-paced and agile team environment.required technical experience:• software development in any language but need to be willing to learn and work with java.• in-depth and hands-on experience with developing and refining end-to-end logical and physical architecture artifacts and data models.• experience with defining and delivering enterprise integration architectures for large organizations including experience with at least one major esb platform (e.g. ibm integration bus mulesoft apache camel/spring boot microsoft biztalk tibco etc.)• deep understanding of cloud native architectures for containerized microservices.• experience with automated delivery pipelines agile delivery and test-driven development.• familiarity with a variety of programming styles (e.g. oo functional) and in-depth knowledge of software design patterns.• advanced rdbms knowledge is a plus.required domain experience and soft skills:• experience with front office software development within an asset management firm hedge fund or investment bank with 5+ years of experience with building large scale distributed and time sensitive trading solutions.• a solid understanding of financial markets and familiarity with equity and/or fixed income instruments is a must.• confident communicator with demonstrable ability to argue a point concisely and deal positively with conflicting viewpoints.• experience providing coaching and mentoring to team members in order to deliver quality service and celebrated solutions to business customers.education:• bs in computer science mis or related majors is required• ms or mba is a strong plus• technical and/or industry certifications are a plus• enthusiasm for continuous learning is a mustprovided by dice software development in any language
software dev. engineer,design program debug and modify software enhancements system components and newproducts.codingthe candidate must be good in java spring mvc worked on ui and has good experience with pure javascript csshtml5the candidate needs to have worked on a web app ideally on an transactional e-commerce product that is used by external usersjava reactjs/nodejs spring redis expertisecontact:#2148845346hasithm@talentminds.comprovided by dice javascript cssspring mvcjava reactjs/nodejs spring redis
head of software engineering - enterprise cloud,this is a small fast-growing (doubled in size the last 12 months) enterprise cloud software company working in a new enterprise software domain which we are carving out. presently the company is winning nearly every deal against its lone direct competitor.very large enterprise customers are on board like intuit vmware deutsche bank large reits (real estate investment trust)s with many new customers in the deal pipeline.armed with several million dollars of cash from recent investments this company predicts cash-flow positive status within the near term (less than one year.additionally the company has won numerous local and national green technology awards mostly for its innovation and positive affect on the environment.presently the products are expanding towards more sophisticated analytics through data science.longer term plans include serving european customers also.technology:the application is a spa (single page application like amazon) where the technology stack is back end java javascript with angular framework ruby and back-end java hosted on amazon web services aws.rolehead of engineeringrole reports to cto.present engineering team size is 10 and growing.2 sqa3 backend engineers3 front end engineersdata sciencedevops.overall responsibility for software development projects: milestones tickets review qa launch cycle. process. tools selection. automation and strategy tracking metrics.peoplescheduling hiring and onboardingperformance and review processes policy administration cultureproductrequirements -> architecture planning timeline. engineering interface with product management team.compensation includes competitive base salary stock options and benefits.company culture is one offering work - life balance autonomy and a friendly setting. flip flops shorts t-shirts jeans etc. are the norm. the team is very collaborative and works in an open-office environment.qualifications10+ years overall experience within software industry5+ as direct manager for software teams of 8 or more with hiring and firing authority.3+ in web application development.bscs or related educational background.risk / reward opportunitya meaningful pre-ipo equity opportunity exists. given tremendous traction with customers and growth the team is confident success is theirs to lose. on the cusp of profitability with cash in the bank the company is well positioned for the future.provided by dice 10+ years software industry experience web applications growing and developing teams.
front end engineer,our mountain view based client has an immediate need for a front end engineer for a direct hire opportunity.come in at the ground floor and be a part of a startup company that develops autonomous technology in the field of robotics!requirements:2-3 years’ experience with front end engineeringpassion for software design architecture and codingskills – javascript django html5 & css3 react.js experience requiredable to review and influence ongoing software design architecture standards and methods to provide solutions for improvementknowledgeable of industry trends and new technologies to improve company’s current offeringsthe mice groups is a certified minority business enterprise. we have been named one of silicon valley's fastest growing private companies two years in a row and were named to inc's 5000 fastest growing private companies in the nation.we provide professional technology staffing solutions to the most respected companies in a variety of industries including finance and banking software development e-commerce and retail biotechnology healthcare insurance and services for contract contract to hire as well as direct hire roles.please visit our new website at www.micegroups.com to see all of our current openings.provided by dice javascript django html5 css3 react.js front end robotics autonomous vehicle
qa engineer,qa engineergiving a dairy farmer more data doesn’t help them. giving them intelligence about their business that results from interpreting the data and turning it into actionable information does.software providers like valley agricultural software (vas) are taking formerly desktop-based single application solutions and providing business-wide platforms that provide real-time access to web-based intelligence via mobile devices tablets and computers. these programs tie together all the variables that go into milk production in a single platform – from the feed to the cow to the parlor – providing actionable intelligence that allows today’s dairy farmer to make decisions when it will have the greatest impact on production: now.vas is currently searching for the right candidate that has a passion for the dairy software industry and wants to help make an impact of this very large ecosystem.responsibilitiesparticipate as a work-from-home member of the engineering team to build software applications.work with the product lead and development team to understand user stories and transform them into high quality software applications and features.work closely with development to produce high quality software.perform manual testing of the software platform to ensure the quality of delivered products.identify and document issues/bugs/ and cases communicate to other team members effectively.direct user acceptance testing efforts among product stakeholders.smoke test new environments merged environments production pushes as needed.be/become a sme on usage of entire application suite processes workflows etc.perform manual testing on mobile devices.help newer internal staff understand and use the system effectively.research new test automation possibilities across all areas of the system.provide recommendation on qa testing tools based on industry standards.track quality assurance metrics like test coverage defects.requirementsproven work experience in quality assurance for a software development teamstrong knowledge of software qa methodologies tools and processesexperience in writing clear concise and comprehensive test plans and test caseshands-on experience with automated testing toolshands-on experience with jira and confluencesolid knowledge of sql and scriptingexperience working in an agile/scrum development processexperience with performance and/or security testing is a plusbs/ms degree in computer science engineering or a related subject is a plusexperience working within a remote working environment is a plusexperience with dairy related data is a big plusbenefitsat vas we pride ourselves with being the leader in the dairy software industry but another area we excel in is benefits to our employees.vas offers competitive salary in the top percentile for our field.generous medical vision dental and hra plans. premiums fully paid for by vas.fidelity retirement plan and profit share at 10% of your annual gross salary.generous paid time off including vacation sick and school activity time.opportunity to grow within chosen field.application instructionsdoes this sound like a position you are interested in? do you have what it takes to be a qa engineer and vas team member? if so please submit your resume to jobs@vas.com. please include your letter of interest with your resume.we look forward to hearing all about you!provided by dice qa
qa software engineer,prudent technologies and consulting is a full-service information technologies consulting firm with more than 17 years of specialization in it staffing erp and custom application development solutions. we have a project services team and terrific clients with many years of relationships and wonderful history. want to join an amazing & exciting team? you have found it with prudent! you can expect our team to listen to your needs and ensure you are being matched with the proper project and client. prudent offers consultant certifications competitive compensation health benefits and 401k programs.we are currently interviewing for the following qa software engineer position:position summary:the qa software engineer will help the client improve the current testing for their existing software stack reduce the time to market and release overhead as well as design testing solutions that the client will provide to other internal teams as a core service. this person will become integral part of the client's core development team and design authority.position responsibilities:design write and deliver software to increase quality of internal code delivereddesign/architect software to expand their core services to c# .net and sql serverdesign approaches to measure the availability scalability latency and efficiency of web applications and identify points for improvementinfluence and create new designs architectures standards and methods for web and mobile based systemsposition requirements:bs/ba degree in software engineering or related technical field required; ms degree in software engineering with interest in testing methodologies preferredexperience in the seleniumexperience in one or more of the following: mvc transaction processingdeep understanding of mvc c# javascript css tsql entity frameworkdeep understanding of selenium and cucumber frameworksexpertise in testing commercial client-facing applicationssystematic problem-solving approach coupled with a strong sense of ownership and driveprovided by dice quality and assurance and test and mvc and java and selenium and python
systems engineer,hiour client is looking for system engineer in washington d.c. if you are interested please share your updated resume and also let me know your expecting rate.position: system engineerlocation: washington d.cduration: long term (contract)job description:possesses and applies expertise on multiple complex work assignments.assignments may be broad in nature requiring originality and innovation in determining how to accomplish tasks.operates with appreciable latitude in developing methodology and presenting solutions to problems.contributes to deliverables and performance metrics where applicable.provides analysis related to the design development and integration of hardware software man-machine interfaces and all system level requirements to provide an integrated it solution.develops integrated system test requirement strategies devices and systems.directs overall system level testing.provided by dice "systems engineer"
.net developer (local to il),.net developer with azurelocation: chicago ilinterview: phone then face to faceduration: 6 month contractthe senior software engineer will be responsible for helping grow and mature newly introduced room operations center or roc.roc is a platform that consists of custom hardware and software –.net code running in microsoft azure.the senior engineer will continuously improve system as well as help organize and architect the future of our platform.the engineer will design new features in a way that balances thoughtful reuse with the integration of new systems and technologies.the ability to think holistically about a system composed of diverse technologies is required.must have:4-5+ years of experience with asp.net c# and sql developmentstrong communication skills (start-up/laid-back environment)prior experience in an agile environmentexperience with entity frameworkpluses:azure web services experience (ideally event hub and stream analytics)best regardsasgar khandkmrbh inc (do know me right before hiring)phone: 302-357-9379email: asgar.khan@dkmrbh.comprovided by dice asp.net c# sqlazure
direct client requirement - .net developer @ madison wi,position: c#/.net developerduration: 6+ months contractlocation: madison wiresponsibilitieswork with a team of senior engineers to design implement test and deploy data management solutions.responsible for building server side components and services for the data management system using .net technologies.responsible for developing .net linux and windows c++ based application server client libraries.proficient in developing interfaces with internal and external applications.create and/or contribute to highly portable software architectures.work independently and deliver high quality technical solutions.develop requirement design test plan and test report documentation.execute unit integration and performance test.participate in project design reviews.qualifications4-7 years’ experience as a software engineer with a strong background in object orientated design.degree in computer science or equivalent work experience.excellent understanding of .net/c# (minimum 4 years of experience).strong web development (rest/ html5/javascript) experience.strong understanding and experience with windows services implementation.experience with data encryption is highly desiredfamiliarity with active directory windows domain controller apis is a plus.strong understanding of windows os fundamentals/thread implementation.relational database experience with ms sql 2014 is a plus.experience in medical device industry is desirable.excellent verbal and written communication skills.self-motivated and willing to take responsibility for delivering projects on time with high quality.for more details please reach me at prasad@kutirtech.comprovided by dice .net/c#
java performance engineer,new iron group is seeking a senior java engineer with a strong performance engineering background to join a small team conducting high-frequency trading. we're seeking a platform / performance engineer to leverage deep jvm expertise and networking knowledge. this is a well-paid well-bonused role on a very small team; start-up experience helpful!requirementsbachelor’s degree or higher computer science major preferable5+ years of experience in software development oo design and java development experiencebe a fast aggressive coderexperience of designing complex distributed systems and applicationscommand of java and profiling toolsunderstanding of performance boosting techniquesability to debug and narrow down performance issuescharacterize end-to-end system performance including system infrastructure and application performance tuningcapacity estimating modeling or planning and application and architecture code profilingsolid automation skills including test scripting and test data managementmodel and analyze workloads to drive system architecture and design directionability to distill volumes of data analyses performance results and diagnoses performance problemsability to clearly characterize system performance to stakeholders with excellent written and oral communication skillscollaborative team playerthis is a full-time position in austin texas. principals only. recruiters please do not contact this job poster.provided by dice java performance oo design
